                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6276,                 5.4851,                 1.5786,                0.00133,                0.33333,                0.00253,                0.00093,                 1.5883,                 5.5908,                 1.7843,                2.5e-05,                2.5e-05,                2.5e-05
                      2,                 1.4604,                 4.2508,                 1.4622,                0.03112,                0.64286,                 0.0758,                0.03618,                 1.4261,                 4.3381,                 1.5816,             6.1881e-05,             6.1881e-05,             6.1881e-05
                      3,                 1.3464,                 2.5603,                 1.4155,                0.93331,                0.21429,                0.32356,                0.19644,                 1.3766,                 5.1783,                 1.5586,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.1308,                 1.8555,                 1.3165,                0.22499,                0.42063,                 0.3581,                0.24977,                   1.21,                 5.8921,                 1.4022,             0.00013342,             0.00013342,             0.00013342
                      5,                 1.1513,                 1.7744,                 1.2866,                0.20221,                0.42063,                 0.3166,                0.22052,                 1.2064,                 3.9482,                 1.3386,             0.00016807,             0.00016807,             0.00016807
                      6,                 1.1268,                 1.8229,                 1.1923,                0.93941,                 0.2619,                0.33054,                0.23092,                 1.1954,                 3.2008,                 1.3235,             0.00020198,             0.00020198,             0.00020198
                      7,                0.95699,                  1.254,                 1.0858,                0.27208,                0.66162,                0.41078,                0.27998,                 1.1599,                 3.0027,                 1.3137,             0.00023515,             0.00023515,             0.00023515
                      8,                 1.1033,                 1.3653,                 1.1895,                0.40406,                0.61508,                0.46584,                0.28009,                 1.1483,                 2.8179,                 1.3212,             0.00026758,             0.00026758,             0.00026758
                      9,                0.87351,                 1.1724,                 1.0698,                0.32669,                0.49845,                0.46816,                0.27695,                 1.1522,                 3.0347,                 1.2973,             0.00029926,             0.00029926,             0.00029926
                     10,                0.86241,                 1.0823,                 1.0364,                0.57013,                0.46805,                0.55332,                0.31692,                 1.1752,                 3.1329,                 1.3241,              0.0003302,              0.0003302,              0.0003302
                     11,                0.96196,                 1.1268,                 1.0858,                0.89386,                0.47233,                0.57808,                0.29969,                 1.3389,                 2.2565,                 1.3702,              0.0003604,              0.0003604,              0.0003604
                     12,                 0.8166,                0.94483,                 1.0079,                0.54188,                0.64706,                0.59843,                0.32424,                 1.3439,                 2.1037,                 1.4001,             0.00038986,             0.00038986,             0.00038986
                     13,                0.77773,                0.76207,                0.95846,                0.67233,                0.62302,                0.62644,                0.32346,                 1.3139,                 2.0174,                   1.41,             0.00041857,             0.00041857,             0.00041857
                     14,                0.86579,                0.87049,                0.96795,                0.64966,                0.63791,                0.61531,                0.33094,                 1.2392,                 1.9929,                 1.3876,             0.00044654,             0.00044654,             0.00044654
                     15,                 0.8907,                 0.8622,                 1.0733,                0.80181,                0.57103,                0.64661,                0.34755,                 1.3318,                 1.8047,                 1.3847,             0.00047377,             0.00047377,             0.00047377
                     16,                0.84804,                0.87096,                 1.0303,                0.57352,                0.65079,                0.52815,                0.28938,                 1.4249,                 1.8893,                 1.4671,             0.00050026,             0.00050026,             0.00050026
                     17,                0.76628,                0.70733,                 1.0053,                0.59575,                0.40873,                0.42874,                0.25021,                 1.4192,                 2.3556,                 1.4782,               0.000526,               0.000526,               0.000526
                     18,                0.86295,                 0.8812,                 1.0483,                0.62513,                0.32177,                0.39197,                0.28153,                 1.3306,                 3.0136,                 1.4541,               0.000551,               0.000551,               0.000551
                     19,                 1.0142,                0.85983,                 1.0449,                0.60927,                0.32847,                0.39971,                0.27399,                 1.3821,                 3.4445,                 1.5136,             0.00057526,             0.00057526,             0.00057526
                     20,                0.95158,                0.86701,                 1.2071,                0.57003,                0.34921,                0.41238,                 0.2569,                 1.5367,                 3.2535,                  1.579,             0.00059878,             0.00059878,             0.00059878
                     21,                0.79912,                0.79697,                 1.0058,                0.58882,                0.37302,                0.41576,                0.26087,                 1.4277,                 2.5454,                 1.4851,             0.00062155,             0.00062155,             0.00062155
                     22,                0.76353,                0.79764,                 1.0198,                0.63006,                0.34592,                0.41801,                 0.2584,                 1.3478,                 2.0606,                  1.401,             0.00064358,             0.00064358,             0.00064358
                     23,                0.73187,                0.69732,                0.95986,                0.61667,                 0.4881,                0.43225,                0.27746,                  1.444,                 1.8612,                  1.456,             0.00066487,             0.00066487,             0.00066487
                     24,                0.74547,                0.90597,                 1.0319,                 0.6301,                 0.4881,                0.53125,                0.34231,                   1.47,                 1.8899,                  1.472,             0.00068542,             0.00068542,             0.00068542
                     25,                0.82111,                0.73953,                 1.0659,                0.51195,                0.58816,                0.49012,                0.31076,                 1.4723,                 1.9292,                 1.4425,             0.00070522,             0.00070522,             0.00070522
                     26,                0.70902,                0.71287,                 0.9886,                0.63339,                0.40366,                0.45023,                 0.3128,                 1.3807,                 2.1105,                 1.4125,             0.00072428,             0.00072428,             0.00072428
                     27,                0.72734,                0.65929,                0.96728,                0.61886,                0.41084,                0.42939,                0.28373,                 1.4891,                 2.2486,                 1.4925,              0.0007426,              0.0007426,              0.0007426
                     28,                0.79252,                0.67345,                 1.0548,                0.60359,                 0.4127,                0.41753,                0.24624,                 1.5309,                 2.3917,                 1.5615,             0.00076018,             0.00076018,             0.00076018
                     29,                0.72426,                0.64683,                0.95302,                0.60359,                 0.4127,                0.41753,                0.24624,                 1.5309,                 2.3917,                 1.5615,             0.00077701,             0.00077701,             0.00077701
                     30,                0.76177,                 0.6104,                  1.023,                0.55541,                 0.4127,                0.40939,                0.24641,                 1.5311,                  2.472,                 1.6494,              0.0007931,              0.0007931,              0.0007931
                     31,                0.78985,                0.72534,                 1.0706,                0.57148,                0.42751,                0.42276,                0.26473,                 1.4917,                 2.4669,                 1.6655,             0.00080845,             0.00080845,             0.00080845
                     32,                0.77349,                0.65138,                0.97633,                 0.5863,                0.61257,                0.59559,                0.33585,                  1.545,                 2.1103,                 1.6864,             0.00082306,             0.00082306,             0.00082306
                     33,                0.85535,                0.68645,                 1.0926,                 0.5863,                0.61257,                0.59559,                0.33585,                  1.545,                 2.1103,                 1.6864,             0.00083692,             0.00083692,             0.00083692
